experiment,window,grid_limit_kw,seed,scenario_mode,execution_rule,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw,p10_p90_strict_coverage,ensemble_range_strict_coverage,above_ensemble_max_fraction,below_p10_fraction,above_p90_fraction,equal_ensemble_min_fraction,equal_ensemble_max_fraction,equal_p10_fraction,equal_p90_fraction,mean_scenario_member_count,mean_scenario_unique_member_count,mean_observation_tied_member_count,mean_observation_rank_lower,mean_observation_rank_upper,mean_observation_rank_midpoint,mean_observation_pit_lower,mean_observation_pit_upper,mean_observation_pit_midpoint,ideal_below_ensemble_min_fraction,ideal_p10_p90_coverage,ideal_ensemble_range_coverage,tie_tolerance_kw,observation_tie_fraction,any_member_ties_fraction,mean_rank_interval_width,mean_pit_interval_width
sampled_28d,winter,2.5,42,sampled,planned,0,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.8869047619047619,0.9702380952380952,0.023809523809523808,0.3540155319940476,0.20238095238095238,0.2619047619047619,0.005952380952380952,0.08928571428571429,0.023809523809523808,0.7083333333333334,0.625,0.6845238095238095,0.625,12.0,3.9226190476190474,7.714285714285714,2.4642857142857144,10.178571428571429,6.321428571428571,0.11263736263736264,0.7829670329670331,0.44780219780219777,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7083333333333334,0.9940476190476191,7.714285714285714,0.6703296703296703
sampled_28d,winter,2.5,42,sampled,planned,0,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.7738095238095238,0.9404761904761905,0.047619047619047616,0.7080310639880952,0.40476190476190477,0.5238095238095238,0.011904761904761904,0.17857142857142858,0.047619047619047616,0.4166666666666667,0.25,0.36904761904761907,0.25,12.0,6.845238095238095,3.4285714285714284,3.9285714285714284,7.357142857142857,5.642857142857143,0.22527472527472528,0.565934065934066,0.39560439560439553,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.4166666666666667,0.9880952380952381,3.4285714285714284,0.34065934065934067
sampled_28d,winter,2.5,42,sampled,planned,1,all_hours,168,0.1621970455662734,0.1491839350486288,0.33362071356666817,0.9047619047619048,0.9523809523809523,0.03571428571428571,0.3582066127232143,0.22023809523809523,0.25,0.011904761904761904,0.07738095238095238,0.017857142857142856,0.7023809523809523,0.625,0.6845238095238095,0.625,12.0,3.9642857142857144,7.666666666666667,2.4523809523809526,10.119047619047619,6.285714285714286,0.1117216117216117,0.7783882783882784,0.4450549450549451,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7023809523809523,0.9880952380952381,7.666666666666667,0.6666666666666666
sampled_28d,winter,2.5,42,sampled,planned,1,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.8095238095238095,0.9047619047619048,0.07142857142857142,0.7164132254464286,0.44047619047619047,0.5,0.023809523809523808,0.15476190476190477,0.03571428571428571,0.40476190476190477,0.25,0.36904761904761907,0.25,12.0,6.928571428571429,3.3333333333333335,3.9047619047619047,7.238095238095238,5.571428571428571,0.2234432234432234,0.5567765567765568,0.39010989010989006,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.40476190476190477,0.9761904761904762,3.3333333333333335,0.3333333333333333
sampled_28d,winter,2.5,42,sampled,planned,2,all_hours,168,0.16219704556627337,0.1491839350486288,0.3336207135666682,0.9047619047619048,0.9583333333333334,0.03571428571428571,0.3674283189838435,0.23214285714285715,0.2619047619047619,0.005952380952380952,0.08333333333333333,0.011904761904761904,0.6964285714285714,0.625,0.6726190476190477,0.625,12.0,4.017857142857143,7.666666666666667,2.4345238095238093,10.101190476190476,6.267857142857143,0.11034798534798533,0.777014652014652,0.44368131868131866,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.6964285714285714,0.9821428571428571,7.666666666666667,0.6666666666666666
sampled_28d,winter,2.5,42,sampled,planned,2,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.8095238095238095,0.9166666666666666,0.07142857142857142,0.7348566379676871,0.4642857142857143,0.5238095238095238,0.011904761904761904,0.16666666666666666,0.023809523809523808,0.39285714285714285,0.25,0.34523809523809523,0.25,12.0,7.035714285714286,3.3333333333333335,3.869047619047619,7.2023809523809526,5.535714285714286,0.22069597069597066,0.5540293040293041,0.3873626373626374,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.39285714285714285,0.9642857142857143,3.3333333333333335,0.3333333333333333
sampled_28d,winter,2.5,42,sampled,planned,3,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.8928571428571429,0.9642857142857143,0.02976190476190476,0.3581800395939626,0.2261904761904762,0.2619047619047619,0.005952380952380952,0.09523809523809523,0.011904761904761904,0.7023809523809523,0.625,0.6666666666666666,0.625,12.0,3.9583333333333335,7.684523809523809,2.482142857142857,10.166666666666666,6.324404761904762,0.11401098901098901,0.782051282051282,0.4480311355311355,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7023809523809523,0.9821428571428571,7.684523809523809,0.668040293040293
sampled_28d,winter,2.5,42,sampled,planned,3,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.7857142857142857,0.9285714285714286,0.05952380952380952,0.7163600791879252,0.4523809523809524,0.5238095238095238,0.011904761904761904,0.19047619047619047,0.023809523809523808,0.40476190476190477,0.25,0.3333333333333333,0.25,12.0,6.916666666666667,3.369047619047619,3.9642857142857144,7.333333333333333,5.648809523809524,0.22802197802197804,0.5641025641025641,0.3960622710622711,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.40476190476190477,0.9642857142857143,3.369047619047619,0.33608058608058605
sampled_28d,winter,2.5,42,sampled,planned,4,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.9107142857142857,0.9642857142857143,0.02976190476190476,0.37159822425063777,0.24404761904761904,0.25595238095238093,0.005952380952380952,0.07738095238095238,0.011904761904761904,0.7083333333333334,0.625,0.6666666666666666,0.625,12.0,3.9404761904761907,7.666666666666667,2.4345238095238093,10.101190476190476,6.267857142857143,0.11034798534798533,0.777014652014652,0.4436813186813187,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7083333333333334,0.9880952380952381,7.666666666666667,0.6666666666666666
sampled_28d,winter,2.5,42,sampled,planned,4,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.8214285714285714,0.9285714285714286,0.05952380952380952,0.7431964485012755,0.4880952380952381,0.5119047619047619,0.011904761904761904,0.15476190476190477,0.023809523809523808,0.4166666666666667,0.25,0.3333333333333333,0.25,12.0,6.880952380952381,3.3333333333333335,3.869047619047619,7.2023809523809526,5.535714285714286,0.22069597069597066,0.5540293040293041,0.3873626373626374,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.4166666666666667,0.9761904761904762,3.3333333333333335,0.3333333333333333
