date_utc,total_loss_eur,total_operating_cost_eur,total_grid_cost_eur,total_battery_cost_eur,total_shortage_cost_eur,total_inventory_adjustment_eur,total_ens_kwh,total_grid_import_kwh,total_curtailment_kwh,total_throughput_kwh,total_solve_seconds,total_actual_expense_eur,hours,expected_hours,complete_block,partial_block,peak_grid_import_kw,hours_with_ens,grid_limit_kw,seed,experiment,window,scenario_mode,execution_rule,policy,risk_weight,tail_tiebreak
2017-01-01 00:00:00+00:00,10.387722549125693,9.693372549125693,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998,0.0,55.37341369459834,0.0,6.5525152570983405,0.0,9.693372549125693,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,perfect_foresight,0.0,True
2017-01-02 00:00:00+00:00,9.461850864568905,9.504600864568907,9.44307181656856,0.061529048000345504,0.0,-0.04275000000000012,0.0,54.31755323753463,0.0,6.152904800034631,0.0,9.504600864568905,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,perfect_foresight,0.0,True
2017-01-03 00:00:00+00:00,9.92501521381579,9.92501521381579,9.86493626644737,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,56.72820723684211,0.0,6.0078947368421085,0.0,9.925015213815788,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,perfect_foresight,0.0,True
2017-01-04 00:00:00+00:00,9.993203690378289,9.993203690378289,9.933124743009868,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,57.11785567434211,0.0,6.0078947368421085,0.0,9.993203690378289,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,perfect_foresight,0.0,True
2017-01-05 00:00:00+00:00,9.82521052631579,9.82521052631579,9.765131578947368,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,56.15789473684211,0.0,6.0078947368421085,0.0,9.82521052631579,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,perfect_foresight,0.0,True
2017-01-06 00:00:00+00:00,9.29379079380194,9.58499417579208,9.509063325073589,0.0759308507184901,0.0,-0.29120338199014,0.0,54.69464757184908,0.0,7.593085071849083,0.0,9.58499417579208,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,perfect_foresight,0.0,True
2017-01-07 00:00:00+00:00,10.857951428865132,10.523998046875,10.4375,0.0864980468749985,0.0,0.3339533819901319,0.0,60.0,0.0,8.6498046875,0.0,10.523998046874999,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,perfect_foresight,0.0,True
2017-01-01 00:00:00+00:00,13.838436987552662,13.144086987552662,9.559465929420591,0.058091110215402,3.526529947916668,0.6943499999999999,0.35265299479166673,54.98266245383195,0.0,5.809111021540284,0.0,9.617557039635994,24,24,True,False,2.5,3,2.5,42,sampled_28d,winter,sampled,planned,deterministic,0.0,True
2017-01-02 00:00:00+00:00,10.123191347390259,10.165941347390259,9.429966289206776,0.0601042899543,0.675870768229183,-0.042749999999999816,0.06758707682291809,54.242664509753006,0.0,6.010428995430084,0.0,9.490070579161076,24,24,True,False,2.5,4,2.5,42,sampled_28d,winter,sampled,planned,deterministic,0.0,True
2017-01-03 00:00:00+00:00,11.042073923887644,11.042073923887644,9.842799948060943,0.0576724133266959,1.1416015625000053,9.71445146547012e-17,0.1141601562500004,56.60171398891967,0.0,5.76724133266967,0.0,9.900472361387639,24,24,True,False,2.5,3,2.5,42,sampled_28d,winter,sampled,planned,deterministic,0.0,True
2017-01-04 00:00:00+00:00,11.110262400450145,11.110262400450145,9.910988424623442,0.0576724133266959,1.1416015625000053,9.71445146547012e-17,0.1141601562500004,56.99136242641967,0.0,5.76724133266967,0.0,9.968660837950138,24,24,True,False,2.5,3,2.5,42,sampled_28d,winter,sampled,planned,deterministic,0.0,True
2017-01-05 00:00:00+00:00,10.942269236387643,10.942269236387645,9.742995260560942,0.0576724133266959,1.1416015625000053,9.71445146547012e-17,0.1141601562500004,56.03140148891967,0.0,5.76724133266967,0.0,9.800667673887638,24,24,True,False,2.5,3,2.5,42,sampled_28d,winter,sampled,planned,deterministic,0.0,True
2017-01-06 00:00:00+00:00,9.84042353326264,9.84042353326264,9.199743307435941,0.0576724133266959,0.5830078125000027,9.71445146547012e-17,0.0583007812500002,52.92710461391967,0.0,5.76724133266967,0.0,9.257415720762637,24,24,True,False,2.5,2,2.5,42,sampled_28d,winter,sampled,planned,deterministic,0.0,True
2017-01-07 00:00:00+00:00,32.94210636718753,32.89935636718753,10.2983544921875,0.0560018749999985,22.54500000000003,0.042750000000000565,2.254500000000003,59.2048828125,0.0,5.600187499999998,0.0,10.3543563671875,24,24,True,False,2.5,6,2.5,42,sampled_28d,winter,sampled,planned,deterministic,0.0,True
2017-01-01 00:00:00+00:00,10.390338830397333,9.695988830397333,9.62908439826437,0.066904432132963,0.0,0.6943500000000001,0.0,55.380482275796396,0.0,6.6904432132964,7.402504499768837,9.695988830397333,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,stochastic,0.0,True
2017-01-02 00:00:00+00:00,9.466351904380929,9.509101904380929,9.44245078335616,0.0666511210247674,0.0,-0.0427499999999998,0.0,54.3438030204456,0.0,6.665112102476846,6.618729300214909,9.509101904380927,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,stochastic,0.0,True
2017-01-03 00:00:00+00:00,9.92501521381579,9.92501521381579,9.86493626644737,0.0600789473684203,0.0,9.71445146547012e-17,0.0,56.72820723684211,0.0,6.0078947368421085,6.5885306004201984,9.925015213815788,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,stochastic,0.0,True
2017-01-04 00:00:00+00:00,9.994817520247151,9.994817520247151,9.93246847208353,0.0623490481636211,0.0,8.326672684688674e-17,0.0,57.129489568036306,0.0,6.234904816362198,5.58386299968697,9.99481752024715,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,stochastic,0.0,True
2017-01-05 00:00:00+00:00,9.82654172467913,9.82654172467913,9.764590241350447,0.0619514833286821,0.0,1.942890293094024e-16,0.0,56.16749117606027,0.0,6.1951483328683015,6.786293100449256,9.826541724679128,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,stochastic,0.0,True
2017-01-06 00:00:00+00:00,9.272276167708089,9.272276167708089,9.21219005411478,0.060086113593308635,0.0,9.71445146547012e-17,0.0,52.997775212567554,0.0,6.008611359330948,7.1262173000723115,9.272276167708087,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,stochastic,0.0,True
2017-01-07 00:00:00+00:00,27.547918178013425,27.505168178013427,10.4052490234375,0.0676228376116056,17.03229631696432,0.042750000000000635,1.703229631696432,59.815708705357146,0.0,6.762283761160711,6.917114099953323,10.472871861049105,24,24,True,False,2.5,5,2.5,42,sampled_28d,winter,sampled,planned,stochastic,0.0,True
2017-01-01 00:00:00+00:00,10.390338830397338,9.695988830397338,9.62908439826437,0.066904432132963,4.440892098500626e-15,0.6943499999999999,4.440892098500626e-16,55.3804822757964,0.0,6.6904432132964,6.973571900045499,9.695988830397333,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,cvar_0.5,0.5,True
2017-01-02 00:00:00+00:00,9.463225946303384,9.505975946303383,9.443721967786963,0.0622539785163969,2.220446049250313e-14,-0.04274999999999991,2.220446049250313e-15,54.321268387354074,0.0,6.225397851639789,6.366987000103108,9.50597594630336,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,cvar_0.5,0.5,True
2017-01-03 00:00:00+00:00,9.92501521381579,9.92501521381579,9.86493626644737,0.0600789473684203,0.0,8.326672684688674e-17,0.0,56.72820723684211,0.0,6.007894736842109,6.0500413002446285,9.925015213815788,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,cvar_0.5,0.5,True
2017-01-04 00:00:00+00:00,9.9937731640625,9.9937731640625,9.9328931640625,0.0608799999999991,0.0,8.326672684688674e-17,0.0,57.121960937500006,0.0,6.087999999999998,5.970551799749955,9.9937731640625,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,cvar_0.5,0.5,True
2017-01-05 00:00:00+00:00,9.82521052631579,9.82521052631579,9.765131578947368,0.0600789473684202,0.0,1.942890293094024e-16,0.0,56.15789473684211,0.0,6.0078947368421085,6.245502599980682,9.82521052631579,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,cvar_0.5,0.5,True
2017-01-06 00:00:00+00:00,9.272271073190788,9.27227107319079,9.21219212582237,0.0600789473684203,0.0,9.71445146547012e-17,0.0,52.99773848684211,0.0,6.0078947368421085,6.884765099850482,9.272271073190788,24,24,True,False,2.5,0,2.5,42,sampled_28d,winter,sampled,planned,cvar_0.5,0.5,True
2017-01-07 00:00:00+00:00,29.13226999860494,29.089519998604942,10.3738525390625,0.06420959123883781,18.651457868303602,0.04275000000000062,1.86514578683036,59.636300223214285,0.0,6.420959123883926,7.751655000029131,10.438062130301338,24,24,True,False,2.5,5,2.5,42,sampled_28d,winter,sampled,planned,cvar_0.5,0.5,True
2017-04-01 00:00:00+00:00,9.018805902035362,8.537410908203126,8.467975195312501,0.0694357128906242,0.0,0.4813949938322362,0.0,48.7654130859375,0.0,6.943571289062497,0.0,8.537410908203125,24,24,True,False,2.5,0,2.5,42,sampled_28d,spring,sampled,planned,perfect_foresight,0.0,True
2017-04-02 00:00:00+00:00,7.548742115542764,7.335787109375,7.25947265625,0.0763144531249987,0.0,0.21295500616776422,0.0,41.83984375,0.0,7.6314453125,0.0,7.335787109374999,24,24,True,False,2.5,0,2.5,42,sampled_28d,spring,sampled,planned,perfect_foresight,0.0,True
2017-04-03 00:00:00+00:00,7.172696220703125,7.215446220703125,7.106874414062501,0.1085718066406237,0.0,-0.04274999999999958,0.0,41.303756835937506,0.0,10.857180664062497,0.0,7.215446220703124,24,24,True,False,2.5,0,2.5,42,sampled_28d,spring,sampled,planned,perfect_foresight,0.0,True
2017-04-04 00:00:00+00:00,8.030986533203125,8.030986533203125,7.958297656250001,0.0726888769531239,0.0,1.8041124150158794e-16,0.0,45.947127929687504,0.0,7.268887695312498,0.0,8.030986533203125,24,24,True,False,2.5,0,2.5,42,sampled_28d,spring,sampled,planned,perfect_foresight,0.0,True
2017-04-05 00:00:00+00:00,6.926073232421884,6.926073232421884,6.774921093750001,0.1511521386718737,8.881784197001252e-15,2.914335439641036e-16,8.881784197001252e-16,39.7095908203125,0.0,15.115213867187496,0.0,6.926073232421874,24,24,True,False,2.5,0,2.5,42,sampled_28d,spring,sampled,planned,perfect_foresight,0.0,True
2017-04-06 00:00:00+00:00,6.924293242187504,6.855893242187505,6.757723046875001,0.0981701953124987,4.440892098500626e-15,0.06840000000000028,4.440892098500626e-16,39.26364453125,0.0,9.817019531249997,0.0,6.855893242187499,24,24,True,False,2.5,0,2.5,42,sampled_28d,spring,sampled,planned,perfect_foresight,0.0,True
2017-04-07 00:00:00+00:00,5.624698478619924,5.693098478619922,5.528887952302605,0.1642105263157853,1.532107773982716e-12,-0.06839999999999966,1.532107773982716e-13,32.48120888157878,0.0,16.421052631578625,0.0,5.69309847861839,24,24,True,False,2.5,0,2.5,42,sampled_28d,spring,sampled,planned,perfect_foresight,0.0,True
