scale,metric,unit,alpha,mean,var,cvar,sample_count,tail_equivalent_count,excluded_partial_blocks,experiment,grid_limit_kw,seed,policy
utc_day,adjusted_loss,EUR/block,0.9,8.827310413865963,10.390338830397333,17.031963020850828,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
utc_day,ens,kWh/block,0.9,0.07012344048947726,0.0556508091517859,0.6811460658482156,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
nonoverlapping_24h,actual_expense,EUR/block,0.9,8.0299367232569,9.99481752024715,10.251230728473722,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,0.7012344048947725,0.55650809151786,6.811460658482156,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09613928571428605,0.6943499999999999,0.6943500000000001,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,8.827310413865963,10.390338830397333,17.031963020850828,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
nonoverlapping_24h,ens,kWh/block,0.9,0.07012344048947726,0.0556508091517859,0.6811460658482156,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
hour,actual_expense,EUR/hour,0.9,0.3349267964121979,0.5045,0.5056425926571805,672,67.19999999999999,0,sampled_28d,2.5,42,cvar_0.5
hour,shortage_penalty,EUR/hour,0.9,0.034233656383696215,0.0,0.34233656383696215,672,67.19999999999999,0,sampled_28d,2.5,42,cvar_0.5
hour,inventory_adjustment,EUR/hour,0.9,0.004005803571428586,0.1326315789473683,0.2766696142079879,672,67.19999999999999,0,sampled_28d,2.5,42,cvar_0.5
hour,adjusted_loss,EUR/hour,0.9,0.37316625636732276,0.5897631578947369,0.9453249315599895,672,67.19999999999999,0,sampled_28d,2.5,42,cvar_0.5
hour,ens,kWh/hour,0.9,0.00342336563836962,0.0,0.0342336563836962,672,67.19999999999999,0,sampled_28d,2.5,42,cvar_0.5
utc_day,actual_expense,EUR/block,0.9,8.038243113892749,9.9937731640625,10.238500294296761,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
utc_day,shortage_penalty,EUR/block,0.9,0.821607753208709,1.2999877929687509,7.60215541294644,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
utc_day,inventory_adjustment,EUR/block,0.9,0.09613928571428605,0.6943499999999997,0.6943499999999998,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
utc_day,adjusted_loss,EUR/block,0.9,8.955990152815746,10.390338830397338,17.59780295677637,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
utc_day,ens,kWh/block,0.9,0.08216077532087088,0.129998779296875,0.760215541294644,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
nonoverlapping_24h,actual_expense,EUR/block,0.9,8.038243113892749,9.9937731640625,10.238500294296761,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,0.821607753208709,1.2999877929687509,7.60215541294644,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09613928571428605,0.6943499999999997,0.6943499999999998,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,8.955990152815746,10.390338830397338,17.59780295677637,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
nonoverlapping_24h,ens,kWh/block,0.9,0.08216077532087088,0.129998779296875,0.760215541294644,28,2.7999999999999994,0,sampled_28d,2.5,42,cvar_0.5
hour,actual_expense,EUR/hour,0.9,0.3301460897277258,0.5045,0.5058437906901048,672,67.19999999999999,0,all_matching_28d,2.5,42,perfect_foresight
hour,shortage_penalty,EUR/hour,0.9,1.2575919142033767e-14,0.0,1.257591914203377e-13,672,67.19999999999999,0,all_matching_28d,2.5,42,perfect_foresight
hour,inventory_adjustment,EUR/hour,0.9,0.004005803571428567,0.1326315789472385,0.2410228546830941,672,67.19999999999999,0,all_matching_28d,2.5,42,perfect_foresight
hour,adjusted_loss,EUR/hour,0.9,0.33415189329916695,0.5897631578947368,0.6180485014530656,672,67.19999999999999,0,all_matching_28d,2.5,42,perfect_foresight
hour,ens,kWh/hour,0.9,1.2575919142033767e-15,0.0,1.257591914203377e-14,672,67.19999999999999,0,all_matching_28d,2.5,42,perfect_foresight
utc_day,actual_expense,EUR/block,0.9,7.923506153465418,9.925015213815788,10.163290681537829,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
utc_day,shortage_penalty,EUR/block,0.9,3.018220594088104e-13,2.220446049250313e-14,3.0023602651648883e-12,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
