time,load_kw,pv_kw,price_eur_per_kwh,requested_charge_kw,requested_discharge_kw,charge_kw,discharge_kw,soc_before_kwh,soc_kwh,pv_used_kw,curtailment_kwh,grid_kw,ens_kwh,throughput_kwh,grid_cost_eur,battery_cost_eur,shortage_cost_eur,inventory_adjustment_eur,operating_cost_eur,loss_eur,charge_override_kw,discharge_override_kw,balance_residual_kw,actual_expense_eur,policy,stress,plan_expected_loss_eur,plan_var_eur,plan_cvar_eur,plan_objective_eur,solve_seconds,max_residual,original_solve_seconds,emergency_discharge_kw,reused_original,execution_rule,scenario_mode,grid_limit_kw,seed,experiment,window,risk_weight,tail_tiebreak,forecast_issue_time,forecast_valid_time,forecast_lead_hours,point_forecast_pv_kw,scenario_mean_pv_kw,scenario_min_pv_kw,scenario_max_pv_kw,scenario_p10_pv_kw,scenario_p90_pv_kw,scenario_std_pv_kw,forecast_error_pv_kw,forecast_daylight_proxy,scenario_count,plan_primary_expected_loss_eur,plan_primary_cvar_eur,plan_tail_tiebreak_tolerance_eur,plan_tail_tiebreak_used,scenario_candidate_count,scenario_tail_equivalent_count,scenario_unique_path_count,scenario_sha256,scenario_member_count,scenario_unique_member_count,observation_tied_member_count,tie_tolerance_kw,inside_min_max,inside_p10_p90,inside_min_max_strict,inside_p10_p90_strict,below_ensemble_min,above_ensemble_max,below_p10,above_p90,equal_ensemble_min,equal_ensemble_max,equal_p10,equal_p90,observation_rank_lower,observation_rank_upper,observation_rank_midpoint,observation_pit_lower,observation_pit_upper,observation_pit_midpoint,ideal_below_ensemble_min_fraction,ideal_p10_p90_coverage,ideal_ensemble_range_coverage
2017-01-01 10:00:00+00:00,2.35,0.32421875,0.175,0.0,0.0,0.0,0.0,3.976504934210526,3.976504934210526,0.32421875,0.0,2.02578125,0.0,0.0,0.35451171875,0.0,0.0,-0.0,0.35451171875,0.35451171875,0.0,0.0,0.0,0.35451171875,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 11:00:00+00:00,2.35,0.400390625,0.175,0.0,0.0,0.0,0.0,3.976504934210526,3.976504934210526,0.400390625,0.0,1.949609375,0.0,0.0,0.341181640625,0.0,0.0,-0.0,0.341181640625,0.341181640625,0.0,0.0,0.0,0.341181640625,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 12:00:00+00:00,2.35,0.9794921875,0.175,0.0,0.0,0.0,0.0,3.976504934210526,3.976504934210526,0.9794921875,0.0,1.3705078125,0.0,0.0,0.2398388671875,0.0,0.0,-0.0,0.2398388671875,0.2398388671875,0.0,0.0,0.0,0.2398388671875,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 13:00:00+00:00,2.35,1.4052734375,0.175,0.0,0.0,0.0,0.0,3.976504934210526,3.976504934210526,1.4052734375,0.0,0.9447265625,0.0,0.0,0.1653271484375,0.0,0.0,-0.0,0.1653271484375,0.1653271484375,0.0,0.0,0.0,0.1653271484375,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 14:00:00+00:00,2.35,0.5703125,0.175,0.4679449445983396,0.0,0.4679449445983396,0.0,3.976504934210526,4.421052631578949,0.5703125,0.0,2.24763244459834,0.0,0.4679449445983396,0.3933356778047094,0.0046794494459833,0.0,-0.080018585526316,0.3980151272506929,0.3179965417243768,0.0,0.0,1.1102230246251563e-16,0.3980151272506929,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 15:00:00+00:00,2.35,0.009765625,0.175,0.0,0.0,0.0,0.0,4.421052631578949,4.421052631578949,0.009765625,0.0,2.340234375,0.0,0.0,0.409541015625,0.0,0.0,-0.0,0.409541015625,0.409541015625,0.0,0.0,0.0,0.409541015625,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 16:00:00+00:00,2.35,0.0,0.175,0.0,0.0,0.0,0.0,4.421052631578949,4.421052631578949,0.0,0.0,2.35,0.0,0.0,0.41125,0.0,0.0,-0.0,0.41125,0.41125,0.0,0.0,0.0,0.41125,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 17:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000002,0.0,0.7000000000000002,4.421052631578949,3.684210526315791,0.0,0.0,2.5,0.0,0.7000000000000002,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 18:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000002,0.0,0.7000000000000002,3.684210526315791,2.9473684210526327,0.0,0.0,2.5,0.0,0.7000000000000002,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 19:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000002,0.0,0.7000000000000002,2.9473684210526327,2.210526315789475,0.0,0.0,2.5,0.0,0.7000000000000002,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 20:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000002,0.0,0.7000000000000002,2.210526315789475,1.4736842105263168,0.0,0.0,2.5,0.0,0.7000000000000002,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 21:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000002,0.0,0.7000000000000002,1.4736842105263168,0.7368421052631587,0.0,0.0,2.5,0.0,0.7000000000000002,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 22:00:00+00:00,3.2,0.0,0.16,0.0,0.7000000000000002,0.0,0.7000000000000002,0.7368421052631587,6.661338147750939e-16,0.0,0.0,2.5,0.0,0.7000000000000002,0.4,0.007,0.0,0.1326315789473684,0.407,0.5396315789473685,0.0,0.0,0.0,0.407,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 23:00:00+00:00,2.35,0.0,0.16,0.1499999999999999,0.0,0.1499999999999999,0.0,6.661338147750939e-16,0.1425000000000005,0.0,0.0,2.5,0.0,0.1499999999999999,0.4,0.0014999999999999,0.0,-0.0256499999999999,0.4015,0.37585,0.0,0.0,0.0,0.4015,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 00:00:00+00:00,2.1,0.0,0.16,0.3999999999999999,0.0,0.3999999999999999,0.0,0.1425000000000005,0.5225000000000004,0.0,0.0,2.5,0.0,0.3999999999999999,0.4,0.0039999999999999,0.0,-0.0683999999999999,0.404,0.3356,0.0,0.0,0.0,0.404,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 01:00:00+00:00,2.1,0.0,0.16,0.3999999999999999,0.0,0.3999999999999999,0.0,0.5225000000000004,0.9025000000000004,0.0,0.0,2.5,0.0,0.3999999999999999,0.4,0.0039999999999999,0.0,-0.0683999999999999,0.404,0.3356,0.0,0.0,0.0,0.404,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 02:00:00+00:00,2.1,0.0,0.16,0.3999999999999999,0.0,0.3999999999999999,0.0,0.9025000000000004,1.2825000000000002,0.0,0.0,2.5,0.0,0.3999999999999999,0.4,0.0039999999999999,0.0,-0.0683999999999999,0.404,0.3356,0.0,0.0,0.0,0.404,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 03:00:00+00:00,2.1,0.0,0.16,0.3999999999999999,0.0,0.3999999999999999,0.0,1.2825000000000002,1.6625,0.0,0.0,2.5,0.0,0.3999999999999999,0.4,0.0039999999999999,0.0,-0.0683999999999999,0.404,0.3356,0.0,0.0,0.0,0.404,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 04:00:00+00:00,2.1,0.0,0.16,0.3999999999999999,0.0,0.3999999999999999,0.0,1.6625,2.0425,0.0,0.0,2.5,0.0,0.3999999999999999,0.4,0.0039999999999999,0.0,-0.0683999999999999,0.404,0.3356,0.0,0.0,0.0,0.404,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 05:00:00+00:00,2.1,0.0,0.16,0.3999999999999999,0.0,0.3999999999999999,0.0,2.0425,2.4225,0.0,0.0,2.5,0.0,0.3999999999999999,0.4,0.0039999999999999,0.0,-0.0683999999999999,0.404,0.3356,0.0,0.0,0.0,0.404,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 06:00:00+00:00,2.5500000000000003,0.0,0.16,0.0,0.0500000000000002,0.0,0.0500000000000002,2.4225,2.369868421052632,0.0,0.0,2.5,0.0,0.0500000000000002,0.4,0.0005,0.0,0.0094736842105263,0.4005,0.4099736842105264,0.0,0.0,0.0,0.4005,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 07:00:00+00:00,2.5500000000000003,0.0,0.16,0.0,0.0500000000000002,0.0,0.0500000000000002,2.369868421052632,2.3172368421052627,0.0,0.0,2.5,0.0,0.0500000000000002,0.4,0.0005,0.0,0.0094736842105263,0.4005,0.4099736842105264,0.0,0.0,0.0,0.4005,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 08:00:00+00:00,2.5500000000000003,0.0498046875,0.175,0.0,0.0001953125000002,0.0,0.0001953125000002,2.3172368421052627,2.3170312499999994,0.0498046875,0.0,2.5,0.0,0.0001953125000002,0.4375,1.9531250000026644e-06,0.0,3.700657894738946e-05,0.437501953125,0.4375389597039474,0.0,0.0,0.0,0.437501953125,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 09:00:00+00:00,2.1,0.1552734375,0.175,0.0,0.0,0.0,0.0,2.3170312499999994,2.3170312499999994,0.1552734375,0.0,1.9447265625,0.0,0.0,0.3403271484375,0.0,0.0,-0.0,0.3403271484375,0.3403271484375,0.0,0.0,0.0,0.3403271484375,perfect_foresight,False,19.8495734136946,19.8495734136946,19.8495734136946,19.8495734136946,0.0,6.217248937900877e-15,,0.0,False,planned,sampled,2.5,42,planned_48h,winter,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
