date_utc,total_loss_eur,total_operating_cost_eur,total_grid_cost_eur,total_battery_cost_eur,total_shortage_cost_eur,total_inventory_adjustment_eur,total_ens_kwh,total_grid_import_kwh,total_curtailment_kwh,total_throughput_kwh,total_solve_seconds,total_actual_expense_eur,hours,expected_hours,complete_block,partial_block,peak_grid_import_kw,hours_with_ens,grid_limit_kw,seed,window,experiment,policy,risk_weight,tail_tiebreak
2017-01-01 00:00:00+00:00,10.387722549125693,9.693372549125693,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998,0.0,55.37341369459834,0.0,6.5525152570983405,0.1786096000578254,9.693372549125693,24,24,True,False,2.5,0,2.5,42,winter,main,perfect_foresight,0.0,True
2017-01-02 00:00:00+00:00,9.461850864568905,9.504600864568907,9.44307181656856,0.061529048000345504,0.0,-0.04275000000000012,0.0,54.31755323753463,0.0,6.152904800034631,0.0,9.504600864568905,24,24,True,False,2.5,0,2.5,42,winter,main,perfect_foresight,0.0,True
2017-01-03 00:00:00+00:00,9.92501521381579,9.92501521381579,9.86493626644737,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,56.72820723684211,0.0,6.0078947368421085,0.0,9.925015213815788,24,24,True,False,2.5,0,2.5,42,winter,main,perfect_foresight,0.0,True
2017-01-04 00:00:00+00:00,9.993203690378289,9.993203690378289,9.933124743009868,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,57.11785567434211,0.0,6.0078947368421085,0.0,9.993203690378289,24,24,True,False,2.5,0,2.5,42,winter,main,perfect_foresight,0.0,True
2017-01-05 00:00:00+00:00,9.82521052631579,9.82521052631579,9.765131578947368,0.0600789473684203,0.0,-1.3877787807814457e-17,0.0,56.15789473684211,0.0,6.0078947368421085,0.0,9.82521052631579,24,24,True,False,2.5,0,2.5,42,winter,main,perfect_foresight,0.0,True
2017-01-06 00:00:00+00:00,9.29379079380194,9.58499417579208,9.509063325073589,0.0759308507184901,0.0,-0.29120338199014,0.0,54.69464757184908,0.0,7.593085071849083,0.0,9.58499417579208,24,24,True,False,2.5,0,2.5,42,winter,main,perfect_foresight,0.0,True
2017-01-07 00:00:00+00:00,10.857951428865132,10.523998046875,10.4375,0.0864980468749985,0.0,0.3339533819901319,0.0,60.0,0.0,8.6498046875,0.0,10.523998046874999,24,24,True,False,2.5,0,2.5,42,winter,main,perfect_foresight,0.0,True
2017-01-01 00:00:00+00:00,13.838436987552662,13.144086987552662,9.559465929420591,0.058091110215402,3.526529947916668,0.6943499999999999,0.35265299479166673,54.98266245383195,0.0,5.809111021540284,0.8780258999904608,9.617557039635994,24,24,True,False,2.5,3,2.5,42,winter,main,deterministic,0.0,True
2017-01-02 00:00:00+00:00,10.123191347390259,10.165941347390259,9.429966289206776,0.0601042899543,0.675870768229183,-0.042749999999999816,0.06758707682291809,54.242664509753006,0.0,6.010428995430084,0.865407099830917,9.490070579161076,24,24,True,False,2.5,4,2.5,42,winter,main,deterministic,0.0,True
2017-01-03 00:00:00+00:00,11.042073923887644,11.042073923887644,9.842799948060943,0.0576724133266959,1.1416015625000053,9.71445146547012e-17,0.1141601562500004,56.60171398891967,0.0,5.76724133266967,0.852455100393853,9.900472361387639,24,24,True,False,2.5,3,2.5,42,winter,main,deterministic,0.0,True
2017-01-04 00:00:00+00:00,11.110262400450145,11.110262400450145,9.910988424623442,0.0576724133266959,1.1416015625000053,9.71445146547012e-17,0.1141601562500004,56.99136242641967,0.0,5.76724133266967,0.8578080004081121,9.968660837950138,24,24,True,False,2.5,3,2.5,42,winter,main,deterministic,0.0,True
2017-01-05 00:00:00+00:00,10.942269236387643,10.942269236387645,9.742995260560942,0.0576724133266959,1.1416015625000053,9.71445146547012e-17,0.1141601562500004,56.03140148891967,0.0,5.76724133266967,0.9152424001367749,9.800667673887638,24,24,True,False,2.5,3,2.5,42,winter,main,deterministic,0.0,True
2017-01-06 00:00:00+00:00,9.84042353326264,9.84042353326264,9.199743307435941,0.0576724133266959,0.5830078125000027,9.71445146547012e-17,0.0583007812500002,52.92710461391967,0.0,5.76724133266967,0.8827489998657245,9.257415720762637,24,24,True,False,2.5,2,2.5,42,winter,main,deterministic,0.0,True
2017-01-07 00:00:00+00:00,32.94210636718753,32.89935636718753,10.2983544921875,0.0560018749999985,22.54500000000003,0.042750000000000565,2.254500000000003,59.2048828125,0.0,5.600187499999998,0.8175440998747933,10.3543563671875,24,24,True,False,2.5,6,2.5,42,winter,main,deterministic,0.0,True
2017-01-01 00:00:00+00:00,10.390338830397333,9.695988830397333,9.62908439826437,0.066904432132963,0.0,0.6943500000000001,0.0,55.380482275796396,0.0,6.6904432132964,6.648181300028226,9.695988830397333,24,24,True,False,2.5,0,2.5,42,winter,main,stochastic,0.0,True
2017-01-02 00:00:00+00:00,9.466351904380929,9.509101904380929,9.44245078335616,0.0666511210247674,0.0,-0.0427499999999998,0.0,54.3438030204456,0.0,6.665112102476846,5.834589099860749,9.509101904380927,24,24,True,False,2.5,0,2.5,42,winter,main,stochastic,0.0,True
2017-01-03 00:00:00+00:00,9.92501521381579,9.92501521381579,9.86493626644737,0.0600789473684203,0.0,9.71445146547012e-17,0.0,56.72820723684211,0.0,6.0078947368421085,5.786851800163276,9.925015213815788,24,24,True,False,2.5,0,2.5,42,winter,main,stochastic,0.0,True
2017-01-04 00:00:00+00:00,9.994817520247151,9.994817520247151,9.93246847208353,0.0623490481636211,0.0,8.326672684688674e-17,0.0,57.129489568036306,0.0,6.234904816362198,5.728602099698036,9.99481752024715,24,24,True,False,2.5,0,2.5,42,winter,main,stochastic,0.0,True
2017-01-05 00:00:00+00:00,9.82654172467913,9.82654172467913,9.764590241350447,0.0619514833286821,0.0,1.942890293094024e-16,0.0,56.16749117606027,0.0,6.1951483328683015,6.431611699867061,9.826541724679128,24,24,True,False,2.5,0,2.5,42,winter,main,stochastic,0.0,True
2017-01-06 00:00:00+00:00,9.272276167708089,9.272276167708089,9.21219005411478,0.060086113593308635,0.0,9.71445146547012e-17,0.0,52.997775212567554,0.0,6.008611359330948,6.636340199620463,9.272276167708087,24,24,True,False,2.5,0,2.5,42,winter,main,stochastic,0.0,True
2017-01-07 00:00:00+00:00,27.547918178013425,27.505168178013427,10.4052490234375,0.0676228376116056,17.03229631696432,0.042750000000000635,1.703229631696432,59.815708705357146,0.0,6.762283761160711,5.294695199816487,10.472871861049105,24,24,True,False,2.5,5,2.5,42,winter,main,stochastic,0.0,True
2017-01-01 00:00:00+00:00,10.390338830397338,9.695988830397338,9.62908439826437,0.066904432132963,4.440892098500626e-15,0.6943499999999999,4.440892098500626e-16,55.3804822757964,0.0,6.6904432132964,5.759664500365033,9.695988830397333,24,24,True,False,2.5,0,2.5,42,winter,main,cvar_0.5,0.5,True
2017-01-02 00:00:00+00:00,9.463225946303384,9.505975946303383,9.443721967786963,0.0622539785163969,2.220446049250313e-14,-0.04274999999999991,2.220446049250313e-15,54.321268387354074,0.0,6.225397851639789,5.584130300208925,9.50597594630336,24,24,True,False,2.5,0,2.5,42,winter,main,cvar_0.5,0.5,True
