grid_limit_kw,seed,window,experiment,hours,policy,risk_weight,tail_tiebreak,hourly_sample_count,total_loss_eur,total_accounted_loss_eur,total_actual_expense_eur,total_operating_cost_eur,total_grid_cost_eur,total_battery_cost_eur,total_shortage_cost_eur,total_inventory_adjustment_eur,mean_hourly_loss_eur,var_hourly_loss_eur,cvar_hourly_loss_eur,upper_tail_equivalent_hours,total_ens_kwh,eens_kwh_per_hour,lolp,total_grid_import_kwh,peak_grid_import_kw,total_curtailment_kwh,total_throughput_kwh,total_solve_seconds,max_residual,hours_with_loss,hours_with_physical_override,total_physical_override_kwh,perfect_foresight_loss_eur,regret_eur
2.5,42,winter,main,168,perfect_foresight,0.0,True,168,69.74474506687153,69.74474506687153,69.05039506687154,69.05039506687154,68.58067512660146,0.46971994027007763,0.0,0.6943499999999916,0.4151472920647115,0.5897631578947368,0.6194467418546364,16.799999999999997,0.0,0.0,0.0,394.3895721520084,2.5,0.0,46.97199402700838,0.1786096000578254,5.0848214527832176e-14,168,0,0.0,69.74474506687153,0.0
2.5,42,winter,main,168,deterministic,0.0,True,168,99.83876379611851,99.83876379611851,68.38920057997262,99.14441379611853,67.98431365149614,0.4048869284764841,30.7552132161459,0.694350000000001,0.5942783559292769,0.6396315789473684,2.2253182632484565,16.799999999999997,3.075521321614589,0.01830667453342017,0.14285714285714285,390.98179229426364,2.5,0.0,40.48869284764905,6.069231600500636,2.458033776520097e-13,168,19,2.4762241908482157,69.74474506687153,30.094018729246983
2.5,42,winter,main,168,stochastic,0.0,True,168,86.42325953924184,86.42325953924184,68.6966132222775,85.72890953924184,68.25096923905414,0.4456439832233682,17.03229631696432,0.6943500000000016,0.5144241639240585,0.5897631578947368,1.6041663151408818,16.799999999999997,1.703229631696432,0.010138271617240666,0.02976190476190476,392.56295719510535,2.5,0.0,44.56439832233751,42.360871399054304,1.8052226380405045e-13,168,5,3.3091848273026403,69.74474506687153,16.67851447237031
2.5,42,winter,main,168,cvar_0.5,0.5,True,168,88.00210475269054,88.00210475269054,68.65629688438689,87.30775475269053,68.22181204039343,0.4344848439934576,18.65145786830363,0.6943500000000011,0.5238220520993485,0.5897631578947369,1.6986224781969257,16.799999999999997,1.8651457868303627,0.011102058254942634,0.02976190476190476,392.34385228439106,2.5,0.0,43.44848439934644,42.40923810109962,1.645350522494482e-13,168,5,2.957482818374068,69.74474506687153,18.25735968581901
2.5,42,spring,main,168,perfect_foresight,0.0,True,168,51.24629572471369,51.24629572471369,50.59469572471214,50.59469572471368,49.85415201480261,0.7405437099095282,1.545430450278218e-12,0.651600000000002,0.3050374745518672,0.5897631578947368,0.6191525121091301,16.799999999999997,1.545430450278218e-13,9.198990775465584e-16,0.0,289.31058583470383,2.5,0.0,74.05437099095361,0.2039688000222668,1.5720758028692217e-13,142,0,3.1213920337336276e-13,51.24629572471369,0.0
2.5,42,spring,main,168,deterministic,0.0,True,168,55.51483811039955,55.51483811039955,53.483634315756674,54.86323811039955,53.039932360445334,0.4437019553113427,1.3796037946428588,0.6516000000000015,0.3304454649428545,0.5897631578947369,0.6893073636064211,16.799999999999997,0.1379603794642857,0.0008211927349064624,0.023809523809523808,305.426750846425,2.5,17.775390624999996,44.37019553113484,6.257682702271261,7.327471962526033e-15,142,3,0.03401111421131014,51.24629572471369,4.268542385685862
2.5,42,spring,main,168,stochastic,0.0,True,168,52.65298331099275,52.65298331099275,52.001383310992736,52.00138331099276,51.13477086848317,0.8666124425095626,8.881784197001252e-15,0.651600000000002,0.31341061494638545,0.5897631578947368,0.6190151361855393,16.799999999999997,8.881784197001252e-16,5.28677630773884e-18,0.0,296.01226168957294,2.5,6.055594308035714,86.66124425095684,53.06757340230979,1.477817868078546e-11,144,3,0.575613839285716,51.24629572471369,1.4066875862790624
2.5,42,spring,main,168,cvar_0.5,0.5,True,168,53.670396968599015,53.670396968599015,52.010984468598984,53.018796968599005,51.090289464266874,0.9206950043321123,1.0078125000000162,0.6516000000000033,0.3194666486226132,0.5897631578947369,0.6677036400171839,16.799999999999997,0.10078125000000153,0.000599888392857152,0.005952380952380952,297.1358684577655,2.5,7.002818080357142,92.06950043321193,57.76798399921972,2.944311461305915e-12,143,3,0.47384207589285854,51.24629572471369,2.4241012438853247
2.5,42,summer,main,168,perfect_foresight,0.0,True,168,46.03739034128293,46.03739034128293,45.385790341282885,45.38579034128293,44.44989383223684,0.935896509046045,3.552713678800501e-14,0.6516000000000025,0.27403208536477935,0.5897631578947368,0.6141593534617793,16.799999999999997,3.552713678800501e-15,2.114710523095536e-17,0.0,260.2560727796053,2.5,1.3322676295501878e-15,93.58965090460526,0.2678204000694677,1.3322676295501878e-15,133,0,5.176414852314792e-15,46.03739034128293,0.0
2.5,42,summer,main,168,deterministic,0.0,True,168,58.29916345005585,58.29916345005585,48.748035048363086,57.64756345005584,48.10895032203311,0.6390847263299768,8.899528401692756,0.6516000000000028,0.34701883005985623,0.5897631578947368,1.1209497833683568,16.799999999999997,0.8899528401692754,0.005297338334340925,0.023809523809523808,279.4528417329334,2.5,21.607833426339287,63.90847263299848,6.592102099792093,3.3306690738754696e-15,133,13,2.8045765981308244,46.03739034128293,12.261773108772921
2.5,42,summer,main,168,stochastic,0.0,True,168,48.89175824004947,48.89175824004947,46.645571186478016,48.24015824004947,45.77191932310248,0.8736518633755371,1.5945870535714368,0.6516000000000031,0.29102237047648494,0.5897631578947368,0.707175328015342,16.799999999999997,0.15945870535714368,0.0009491589604591886,0.011904761904761904,266.49060877059014,2.5,6.712988281249999,87.3651863375544,52.4820685001323,1.11664011370749e-11,133,4,2.0748465401785725,46.03739034128293,2.85436789876654
2.5,42,summer,main,168,cvar_0.5,0.5,True,168,49.02278031278696,49.02278031278696,46.7765932592155,48.37118031278696,45.943698220952,0.8328950382635042,1.5945870535714501,0.651600000000003,0.2918022637665891,0.5897631578947369,0.7071794989771973,16.799999999999997,0.1594587053571449,0.0009491589604591959,0.011904761904761904,267.47159030237117,2.5,7.902841847113672,83.2895038263512,57.697141299722716,1.0245138071240945e-12,133,4,1.6911877117753311,46.03739034128293,2.985389971504034
2.5,42,autumn,main,168,perfect_foresight,0.0,True,168,57.521641164172024,57.521641164172024,56.82729116416515,56.82729116417204,56.28579205386501,0.5414991103001432,6.870060076380469e-12,0.6943500000000014,0.34239072121530967,0.5897631578947368,0.6194353983867137,16.799999999999997,6.870060076380469e-13,4.0893214740359935e-15,0.0,324.8121161081407,2.5,0.0,54.14991103001499,0.1966238999739289,7.607248164731574e-13,158,0,1.447897357564898e-12,57.521641164172024,0.0
2.5,42,autumn,main,168,deterministic,0.0,True,168,80.88942137736008,80.88942137736008,57.66864699119931,80.19507137736007,57.169772556268605,0.49887443493070216,22.52642438616076,0.6943500000000022,0.48148465105571475,0.7906707570929289,1.870170322071573,16.799999999999997,2.252642438616075,0.013408585944143302,0.125,329.93905864606586,2.5,7.598029436383928,49.88744349307104,6.13521979970391,7.993605777301127e-15,158,25,2.805970447551863,57.521641164172024,23.367780213188055
2.5,42,autumn,main,168,stochastic,0.0,True,168,59.196690497962834,59.196690497962834,57.49466053144496,58.502340497962834,56.63763706019907,0.8570234712458871,1.007679966517867,0.6943500000000032,0.3523612529640645,0.5897631578947368,0.6644170087694827,16.799999999999997,0.10076799665178654,0.0005998095038796818,0.017857142857142856,328.46849535282627,2.5,2.140136718749999,85.70234712458958,43.06579699984286,1.4654943925052066e-13,158,5,0.7439313616071433,57.521641164172024,1.6750493337908097
2.5,42,autumn,main,168,cvar_0.5,0.5,True,168,60.07244224476436,60.07244224476436,57.626932576795596,59.37809224476437,56.81064893376147,0.8162836430341289,1.751159667968758,0.6943500000000027,0.35757406098074024,0.5897631578947368,0.707794109048649,16.799999999999997,0.17511596679687563,0.0010423569452194979,0.017857142857142856,329.2188445977776,2.5,3.1736188616071423,81.62836430341375,46.279429200221784,1.347588707290015e-12,158,6,0.36940847441383207,57.521641164172024,2.5508010805923362
2.0,42,winter,grid_capacity,24,perfect_foresight,0.0,True,24,81.9521754492188,81.9521754492188,8.425202792968747,81.2321754492188,8.349999999999998,0.07520279296874939,72.80697265625005,0.7199999999999998,3.4146739770507835,12.400000000000002,12.400000000000002,2.3999999999999995,7.280697265625005,0.30336238606770854,0.375,48.0,2.0,0.0,7.520279296874998,0.0302503000712022,6.661338147750939e-16,24,0,4.510281037539698e-16,81.9521754492188,0.0
2.0,42,winter,grid_capacity,24,deterministic,0.0,True,24,85.32722880036857,85.32722880036857,8.351049630214145,84.60722880036857,8.28311787923177,0.0679317509823748,76.25617917015444,0.7199999999999998,3.555301200015357,12.400000000000002,12.400000000000002,2.3999999999999995,7.625617917015443,0.31773407987564345,0.5833333333333334,47.617816452752976,2.0,0.0,6.793175098237535,0.6764037007233117,1.4654943925052066e-14,24,5,2.3537376767113085,81.9521754492188,3.3750533511497736
2.0,42,winter,grid_capacity,24,stochastic,0.0,True,24,81.95217544921879,81.95217544921879,8.425202792968747,81.23217544921879,8.349999999999998,0.0752027929687495,72.80697265625004,0.7199999999999999,3.4146739770507826,12.400000000000002,12.400000000000002,2.3999999999999995,7.280697265625004,0.3033623860677085,0.5,48.0,2.0,0.0,7.520279296875,4.80054690001998,2.4646951146678475e-14,24,6,4.920089285714285,81.9521754492188,-1.4210854715202004e-14
2.0,42,winter,grid_capacity,24,cvar_0.5,0.5,True,24,81.9521754492188,81.9521754492188,8.425202792968747,81.2321754492188,8.349999999999998,0.07520279296874949,72.80697265625004,0.72,3.4146739770507835,12.400000000000002,12.400000000000002,2.3999999999999995,7.280697265625004,0.3033623860677085,0.4583333333333333,48.0,2.0,0.0,7.520279296875,5.617895700153894,4.263256414560601e-14,24,6,3.204924665178571,81.9521754492188,0.0
3.0,42,winter,grid_capacity,24,perfect_foresight,0.0,True,24,10.326146309621933,10.326146309621933,9.717296309621705,9.717296309621933,9.592691046463813,0.1246052631578933,2.2648549702353198e-13,0.6088500000000001,0.4302560962342472,0.6394736842105264,0.639824561403509,2.3999999999999995,2.2648549702353197e-14,9.436895709313833e-16,0.0,56.15056537828945,3.0,0.0,12.460526315789426,0.0363354999572038,7.061018436615997e-14,24,0,4.676814491233472e-14,10.326146309621933,0.0
3.0,42,winter,grid_capacity,24,deterministic,0.0,True,24,10.32632055359958,10.32632055359958,9.717470553599574,9.71747055359958,9.595112742427357,0.12235781117221659,4.440892098500626e-15,0.6088500000000001,0.4302633563999825,0.6395297966779743,0.6398339134814186,2.3999999999999995,4.440892098500626e-16,1.850371707708594e-17,0.0,56.13904755602385,3.0,0.0,12.235781117221752,0.7990735997445868,8.060219158778636e-14,24,3,0.11813151041667212,10.326146309621933,0.00017424397764642663
