time,load_kw,pv_kw,price_eur_per_kwh,requested_charge_kw,requested_discharge_kw,charge_kw,discharge_kw,soc_before_kwh,soc_kwh,pv_used_kw,curtailment_kwh,grid_kw,ens_kwh,throughput_kwh,grid_cost_eur,battery_cost_eur,shortage_cost_eur,inventory_adjustment_eur,operating_cost_eur,loss_eur,charge_override_kw,discharge_override_kw,balance_residual_kw,actual_expense_eur,policy,stress,plan_expected_loss_eur,plan_var_eur,plan_cvar_eur,plan_objective_eur,solve_seconds,max_residual,grid_limit_kw,seed,window,experiment,risk_weight,tail_tiebreak,forecast_issue_time,forecast_valid_time,forecast_lead_hours,point_forecast_pv_kw,scenario_mean_pv_kw,scenario_min_pv_kw,scenario_max_pv_kw,scenario_p10_pv_kw,scenario_p90_pv_kw,scenario_std_pv_kw,forecast_error_pv_kw,forecast_daylight_proxy,scenario_count,plan_primary_expected_loss_eur,plan_primary_cvar_eur,plan_tail_tiebreak_tolerance_eur,plan_tail_tiebreak_used
2017-07-02 16:00:00+00:00,2.35,0.23046875,0.175,0.0074064169469722,0.0,0.0074064169469722,0.0,4.11972612194549,4.126762218045114,0.23046875,0.0,2.126937666946972,0.0,0.0074064169469722,0.3722140917157201,7.406416946972248e-05,0.0,-0.0012664972979322,0.3722881558851898,0.3710216585872575,0.0,0.0,-1.6393136847980827e-16,0.3722881558851898,stochastic,False,7.578462778221875,9.31652198423047,9.607812044606831,7.578462778221875,0.3430394000606611,5.52891066263328e-14,2.5,42,summer,main,0.0,True,2017-07-02 16:00:00+00:00,2017-07-02 16:00:00+00:00,0.0,0.7669910249255952,1.0011683872767858,0.3572823660714285,1.50537109375,0.5016741071428571,1.4650530133928572,0.4117151539344923,0.5365222749255952,True,12.0,7.578462778221875,9.607812044606831,0.0,False
2017-07-02 17:00:00+00:00,3.2,0.1044921875,0.2,0.0,0.4853655133928574,0.0,0.4853655133928574,4.126762218045114,3.6158511513157903,0.1044921875,0.0,2.5,0.1101422991071428,0.4853655133928574,0.5,0.0048536551339285,1.101422991071428,0.0919639920112782,1.6062766462053566,1.6982406382166348,0.0,0.0,0.0,0.5048536551339285,stochastic,False,7.203635120556926,9.016999164047814,9.32782691620816,7.203635120556926,0.2822204000549391,1.2989609388114334e-13,2.5,42,summer,main,0.0,True,2017-07-02 17:00:00+00:00,2017-07-02 17:00:00+00:00,0.0,0.3274925595238095,0.4419061569940476,0.1512974330357143,0.7201450892857143,0.1576450892857143,0.6817103794642857,0.2057595640729704,0.2230003720238095,True,12.0,7.203635120556926,9.32782691620816,0.0,False
2017-07-02 18:00:00+00:00,3.2,0.015625,0.2,0.0,0.6350585937500001,0.0,0.6350585937500001,3.6158511513157903,2.9473684210526323,0.015625,0.0,2.5,0.04931640625,0.6350585937500001,0.5,0.0063505859375,0.4931640625,0.1203268914473684,0.9995146484375,1.1198415398848685,0.0,0.0,0.0,0.5063505859375,stochastic,False,6.960100112746264,9.11198604391839,9.155670175359052,6.960100112746264,0.5993820000439882,7.327471962526033e-14,2.5,42,summer,main,0.0,True,2017-07-02 18:00:00+00:00,2017-07-02 18:00:00+00:00,0.0,0.0416852678571428,0.0706263950892857,0.0088588169642857,0.1102120535714285,0.0254603794642857,0.1099330357142857,0.0324662198486698,0.0260602678571428,True,12.0,6.960100112746264,9.155670175359052,0.0,False
2017-07-02 19:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000001,0.0,0.7000000000000001,2.9473684210526323,2.2105263157894743,0.0,0.0,2.5,0.0,0.7000000000000001,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,stochastic,False,7.496477981556676,9.069986300908525,9.323239364776486,7.496477981556676,0.3046562001109123,1.1768364061026661e-14,2.5,42,summer,main,0.0,True,2017-07-02 19:00:00+00:00,2017-07-02 19:00:00+00:00,0.0,0.0,0.0023425874255952,0.0,0.0250418526785714,0.0,0.0030691964285714,0.006896023988102,0.0,False,12.0,7.496477981556676,9.323239364776486,0.0,False
2017-07-02 20:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000003,0.0,0.7000000000000003,2.2105263157894743,1.4736842105263162,0.0,0.0,2.5,0.0,0.7000000000000003,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,stochastic,False,6.903569895036869,8.61287610519218,8.957076415793308,6.903569895036869,0.3940285000717267,1.858513343222512e-13,2.5,42,summer,main,0.0,True,2017-07-02 20:00:00+00:00,2017-07-02 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,6.903569895036869,8.957076415793308,0.0,False
2017-07-02 21:00:00+00:00,3.2,0.0,0.2,0.0,0.7000000000000002,0.0,0.7000000000000002,1.4736842105263162,0.7368421052631581,0.0,0.0,2.5,0.0,0.7000000000000002,0.5,0.007,0.0,0.1326315789473684,0.507,0.6396315789473684,0.0,0.0,0.0,0.507,stochastic,False,6.568170840610132,7.602026422403666,8.402991130713747,6.568170840610132,0.2707783000078052,4.7441901409063e-14,2.5,42,summer,main,0.0,True,2017-07-02 21:00:00+00:00,2017-07-02 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,6.568170840610132,8.402991130713747,0.0,False
2017-07-02 22:00:00+00:00,3.2,0.0,0.16,0.0,0.7000000000000002,0.0,0.7000000000000001,0.7368421052631581,1.1102230246251563e-16,0.0,0.0,2.5,0.0,0.7000000000000001,0.4,0.007,0.0,0.1326315789473684,0.407,0.5396315789473685,0.0,1.1102230246251563e-16,0.0,0.407,stochastic,False,6.963050105145675,8.926653320018797,9.175788932869894,6.963050105145675,0.3322471999563277,1.3322676295501878e-14,2.5,42,summer,main,0.0,True,2017-07-02 22:00:00+00:00,2017-07-02 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,6.963050105145675,9.175788932869894,0.0,False
2017-07-02 23:00:00+00:00,2.35,0.0,0.16,0.1499999999999998,0.0,0.1499999999999998,0.0,1.1102230246251563e-16,0.1424999999999999,0.0,0.0,2.5,0.0,0.1499999999999998,0.4,0.0014999999999999,0.0,-0.0256499999999999,0.4015,0.3758500000000001,0.0,0.0,8.326672684688674e-17,0.4015,stochastic,False,7.53672680171007,9.175984476492744,9.175984476492744,7.53672680171007,0.3206858999328688,7.993605777301127e-15,2.5,42,summer,main,0.0,True,2017-07-02 23:00:00+00:00,2017-07-02 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,7.53672680171007,9.175984476492744,0.0,False
2017-07-01 00:00:00+00:00,2.35,0.0,0.16,0.1499999999999999,0.0,0.1499999999999999,0.0,4.0,4.1425,0.0,0.0,2.5,0.0,0.1499999999999999,0.4,0.0014999999999999,0.0,-0.02565,0.4015,0.37585,0.0,0.0,0.0,0.4015,cvar_0.5,False,7.947273421282085,9.972298007463728,9.972298007463726,8.959785714372906,0.2582583000184968,2.5979218776228663e-14,2.5,42,summer,main,0.5,True,2017-07-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,7.947273421282085,9.972298007463726,0.0,False
2017-07-01 01:00:00+00:00,2.35,0.0,0.16,0.0,0.0,0.0,0.0,4.1425,4.1425,0.0,0.0,2.35,0.0,0.0,0.376,0.0,0.0,-0.0,0.376,0.376,0.0,0.0,0.0,0.376,cvar_0.5,False,7.833645083774958,9.556108512137277,9.705273720935638,8.769459402355299,0.194403399946168,1.0658141036401504e-14,2.5,42,summer,main,0.5,True,2017-07-01 01:00:00+00:00,2017-07-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,7.833645083774958,9.705273720935638,0.0,False
2017-07-01 02:00:00+00:00,2.35,0.0,0.16,0.0,0.0,0.0,0.0,4.1425,4.1425,0.0,0.0,2.35,0.0,0.0,0.376,0.0,0.0,-0.0,0.376,0.376,0.0,0.0,0.0,0.376,cvar_0.5,False,7.787373443923266,9.80416902921108,10.24193709196859,9.014655267945928,0.235966800013557,8.881784197001252e-16,2.5,42,summer,main,0.5,True,2017-07-01 02:00:00+00:00,2017-07-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,7.787373443923266,10.24193709196859,0.0,False
2017-07-01 03:00:00+00:00,2.35,0.0,0.16,0.1499999999999999,0.0,0.1499999999999999,0.0,4.1425,4.285,0.0,0.0,2.5,0.0,0.1499999999999999,0.4,0.0014999999999999,0.0,-0.02565,0.4015,0.37585,0.0,0.0,0.0,0.4015,cvar_0.5,False,7.824480572579369,8.900235877511163,9.44673078136626,8.635605676972814,0.2370950999902561,4.329869796038111e-14,2.5,42,summer,main,0.5,True,2017-07-01 03:00:00+00:00,2017-07-01 03:00:00+00:00,0.0,0.0,0.0003778366815476,0.0,0.0045340401785714,0.0,0.0,0.0012531425047264,0.0,False,12.0,7.824480572579369,9.44673078136626,0.0,False
2017-07-01 04:00:00+00:00,2.35,0.10546875,0.16,0.0,0.0,0.0,0.0,4.285,4.285,0.10546875,0.0,2.24453125,0.0,0.0,0.359125,0.0,0.0,-0.0,0.359125,0.359125,0.0,0.0,0.0,0.359125,cvar_0.5,False,8.408497757510231,9.972666593191969,10.270083681291853,9.339290719401042,0.3021788999903947,4.329869796038111e-14,2.5,42,summer,main,0.5,True,2017-07-01 04:00:00+00:00,2017-07-01 04:00:00+00:00,0.0,0.0220563616071428,0.02490234375,0.0,0.0740094866071428,0.0032784598214285,0.0656389508928571,0.0239419264353573,-0.0834123883928571,True,12.0,8.408497757510231,10.270083681291853,0.0,False
2017-07-01 05:00:00+00:00,2.35,0.25,0.16,0.1360843515037598,0.0,0.1360843515037598,0.0,4.285,4.414280133928572,0.25,0.0,2.23608435150376,0.0,0.1360843515037598,0.3577734962406015,0.0013608435150375,0.0,-0.0232704241071429,0.3591343397556392,0.3358639156484962,0.0,0.0,-1.1102230246251563e-16,0.3591343397556392,cvar_0.5,False,8.200162568040689,10.256601083617246,10.313843825277717,9.257003196659202,0.1988161000190302,3.552713678800501e-15,2.5,42,summer,main,0.5,True,2017-07-01 05:00:00+00:00,2017-07-01 05:00:00+00:00,0.0,0.1059105282738095,0.1257672991071428,0.0170200892857142,0.2432338169642857,0.0230887276785714,0.2432338169642857,0.0921826556954103,-0.1440894717261904,True,12.0,8.200162568040689,10.313843825277717,0.0,False
2017-07-01 06:00:00+00:00,2.8000000000000003,0.3798828125,0.16,0.0,0.2677036830357147,0.0,0.2677036830357147,4.414280133928572,4.132486783364662,0.3798828125,0.0,2.1524135044642856,0.0,0.2677036830357147,0.3443861607142857,0.0026770368303571,0.0,0.0507228031015037,0.3470631975446428,0.3977860006461466,0.0,0.0,0.0,0.3470631975446428,cvar_0.5,False,7.688991118656428,9.731145086123256,10.15236537374438,8.920678246200405,0.2182661000406369,3.552713678800501e-15,2.5,42,summer,main,0.5,True,2017-07-01 06:00:00+00:00,2017-07-01 06:00:00+00:00,0.0,0.2635184151785714,0.2595738002232143,0.0322963169642857,0.4582170758928572,0.091796875,0.4582170758928572,0.129565010679347,-0.1163643973214285,True,12.0,7.688991118656428,10.15236537374438,0.0,False
2017-07-01 07:00:00+00:00,2.8000000000000003,1.0400390625,0.16,0.0,0.032212611607143,0.0,0.032212611607143,4.132486783364662,4.098578771146617,1.0400390625,0.0,1.7277483258928572,0.0,0.032212611607143,0.2764397321428571,0.0003221261160714,0.0,0.0061034421992481,0.2767618582589286,0.2828653004581767,0.0,0.0,0.0,0.2767618582589286,cvar_0.5,False,7.580638379770508,9.7118613427071,9.7118613427071,8.646249861238804,0.3672878999495879,1.7763568394002505e-15,2.5,42,summer,main,0.5,True,2017-07-01 07:00:00+00:00,2017-07-01 07:00:00+00:00,0.0,0.680830310639881,0.7401820591517859,0.2677873883928572,0.9568219866071428,0.2677873883928572,0.9568219866071428,0.2410700007889194,-0.359208751860119,True,12.0,7.580638379770508,9.7118613427071,0.0,False
2017-07-01 08:00:00+00:00,2.8000000000000003,1.349609375,0.175,0.0,0.095270647321429,0.0,0.095270647321429,4.098578771146617,3.998293879229323,1.349609375,0.0,1.3551199776785712,0.0,0.095270647321429,0.2371459960937499,0.0009527064732142,0.0,0.0180512805451128,0.2380987025669642,0.2561499831120771,0.0,0.0,0.0,0.2380987025669642,cvar_0.5,False,7.44138917569648,8.251665143926715,8.832360673955336,8.136874924825907,0.326285499962978,1.7763568394002505e-15,2.5,42,summer,main,0.5,True,2017-07-01 08:00:00+00:00,2017-07-01 08:00:00+00:00,0.0,1.2855236235119047,1.4206310453869044,0.2047293526785714,1.9150390625,0.8849051339285714,1.7132393973214284,0.4422847516547554,-0.0640857514880952,True,12.0,7.44138917569648,8.832360673955336,0.0,False
2017-07-01 09:00:00+00:00,2.35,2.46484375,0.175,0.0,0.0,0.0,0.0,3.998293879229323,3.998293879229323,2.35,0.1148437499999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,cvar_0.5,False,8.133320633900434,9.675413033624874,9.850282686524386,8.99180166021241,0.2229416000191122,3.7470027081099025e-15,2.5,42,summer,main,0.5,True,2017-07-01 09:00:00+00:00,2017-07-01 09:00:00+00:00,0.0,1.7745779854910713,1.5163399832589282,0.1629464285714283,2.3748604910714284,0.7170758928571428,2.260184151785714,0.7106312887727518,-0.6902657645089287,True,12.0,8.133320633900434,9.850282686524386,0.0,False
2017-07-01 10:00:00+00:00,2.35,2.25,0.175,0.4778459821428575,0.0,0.4778459821428575,0.0,3.998293879229323,4.452247562265038,2.25,0.0,0.5778459821428577,0.0,0.4778459821428575,0.101123046875,0.0047784598214285,0.0,-0.0817116629464286,0.1059015066964286,0.0241898437499999,0.0,0.0,0.0,0.1059015066964286,cvar_0.5,False,7.671841300018935,8.570058546592314,9.424940914698247,8.548391107358592,0.3108427000697702,1.0658141036401504e-14,2.5,42,summer,main,0.5,True,2017-07-01 10:00:00+00:00,2017-07-01 10:00:00+00:00,0.0,2.1643543061755954,2.5856294177827386,1.0055106026785716,3.513532366071429,1.7607421875,3.343819754464286,0.6829395045124804,-0.0856456938244045,True,12.0,7.671841300018935,9.424940914698247,0.0,False
2017-07-01 11:00:00+00:00,2.35,2.490234375,0.175,1.0180245535714283,0.0,1.0180245535714283,0.0,4.452247562265038,5.419370888157895,2.490234375,0.0,0.8777901785714284,0.0,1.0180245535714283,0.1536132812499999,0.0101802455357142,0.0,-0.1740821986607142,0.1637935267857142,-0.0102886718749999,0.0,0.0,0.0,0.1637935267857142,cvar_0.5,False,7.872170344633136,9.615248117021071,9.628470870152272,8.750320607392704,0.2779142999788746,1.2656542480726783e-14,2.5,42,summer,main,0.5,True,2017-07-01 11:00:00+00:00,2017-07-01 11:00:00+00:00,0.0,2.357924107142857,2.4537295386904763,1.0777064732142856,3.8646763392857135,1.2041015625,3.52490234375,0.9995981037852808,-0.132310267857143,True,12.0,7.872170344633136,9.628470870152272,0.0,False
2017-07-01 12:00:00+00:00,2.35,3.53515625,0.175,0.2779994419642859,0.0,0.2779994419642859,0.0,5.419370888157895,5.683470358023966,2.627999441964286,0.907156808035714,0.0,0.0,0.2779994419642859,0.0,0.0027799944196428,0.0,-0.0475379045758928,0.0027799944196428,-0.0447579101562499,0.0,0.0,0.0,0.0027799944196428,cvar_0.5,False,7.707244943197026,8.367358234104554,10.06146239087914,8.884353667038082,0.1918303000275045,2.664535259100376e-15,2.5,42,summer,main,0.5,True,2017-07-01 12:00:00+00:00,2017-07-01 12:00:00+00:00,0.0,2.359293619791667,2.138387044270833,0.127999441964286,3.1530412946428577,0.83056640625,3.1530412946428577,0.9982284219525211,-1.175862630208333,True,12.0,7.707244943197026,10.06146239087914,0.0,False
